benchmark,strategy,sub_dataset,n,metric,value,source_csv
D.CR,no_memoria,factconsolidation_mh_6k,100,exact_match,0.0,results/runs/d_cr_no_memoria_scores.csv
D.CR,no_memoria,factconsolidation_mh_6k,100,substring_exact_match,0.0,results/runs/d_cr_no_memoria_scores.csv
D.CR,no_memoria,factconsolidation_mh_6k,100,f1,0.001597542242703533,results/runs/d_cr_no_memoria_scores.csv
D.CR,no_memoria,factconsolidation_mh_6k,100,rougeL_f1,0.00540661938534279,results/runs/d_cr_no_memoria_scores.csv
D.CR,no_memoria,factconsolidation_mh_6k,100,rougeL_recall,0.010333333333333332,results/runs/d_cr_no_memoria_scores.csv
D.CR,no_memoria,factconsolidation_mh_6k,100,rougeLsum_f1,0.00540661938534279,results/runs/d_cr_no_memoria_scores.csv
D.CR,no_memoria,factconsolidation_mh_6k,100,rougeLsum_recall,0.010333333333333332,results/runs/d_cr_no_memoria_scores.csv
D.CR,no_memoria,factconsolidation_sh_262k,100,exact_match,0.02,results/runs/d_cr_no_memoria_scores.csv
D.CR,no_memoria,factconsolidation_sh_262k,100,substring_exact_match,0.15,results/runs/d_cr_no_memoria_scores.csv
D.CR,no_memoria,factconsolidation_sh_262k,100,f1,0.08932312199032622,results/runs/d_cr_no_memoria_scores.csv
D.CR,no_memoria,factconsolidation_sh_262k,100,rougeL_f1,0.08703195650331873,results/runs/d_cr_no_memoria_scores.csv
D.CR,no_memoria,factconsolidation_sh_262k,100,rougeL_recall,0.2316666666666666,results/runs/d_cr_no_memoria_scores.csv
D.CR,no_memoria,factconsolidation_sh_262k,100,rougeLsum_f1,0.08703195650331873,results/runs/d_cr_no_memoria_scores.csv
D.CR,no_memoria,factconsolidation_sh_262k,100,rougeLsum_recall,0.2316666666666666,results/runs/d_cr_no_memoria_scores.csv
D.CR,no_memoria,factconsolidation_sh_32k,100,exact_match,0.05,results/runs/d_cr_no_memoria_scores.csv
D.CR,no_memoria,factconsolidation_sh_32k,100,substring_exact_match,0.24,results/runs/d_cr_no_memoria_scores.csv
D.CR,no_memoria,factconsolidation_sh_32k,100,f1,0.12464447380438705,results/runs/d_cr_no_memoria_scores.csv
D.CR,no_memoria,factconsolidation_sh_32k,100,rougeL_f1,0.12202421132845975,results/runs/d_cr_no_memoria_scores.csv
D.CR,no_memoria,factconsolidation_sh_32k,100,rougeL_recall,0.3125,results/runs/d_cr_no_memoria_scores.csv
D.CR,no_memoria,factconsolidation_sh_32k,100,rougeLsum_f1,0.12202421132845975,results/runs/d_cr_no_memoria_scores.csv
D.CR,no_memoria,factconsolidation_sh_32k,100,rougeLsum_recall,0.3125,results/runs/d_cr_no_memoria_scores.csv
D.CR,no_memoria,factconsolidation_sh_64k,100,exact_match,0.07,results/runs/d_cr_no_memoria_scores.csv
D.CR,no_memoria,factconsolidation_sh_64k,100,substring_exact_match,0.29,results/runs/d_cr_no_memoria_scores.csv
